New best length: 119074.8186 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 49.52476090638159}, avg=119786.5061 and median=119678.3592
New best length: 118823.5840 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 160.95547294574015}, avg=120099.5529 and median=120009.1799
New best length: 119910.8476 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.25, 'q': 49.52476090638159}, avg=120600.1888 and median=120787.3894
New best length: 119395.8016 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.25, 'q': 49.52476090638159}, avg=120653.2223 and median=120312.4681
New best length: 119231.2118 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.25, 'q': 49.52476090638159}, avg=120326.8884 and median=119964.8497
New best length: 119491.2760 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.2, 'q': 49.52476090638159}, avg=120247.3997 and median=120103.4077
New best length: 119367.9067 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=120245.5389 and median=120146.9863
New best length: 118985.4171 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 49.52476090638159}, avg=120259.3334 and median=120313.0052
======================bier^================================
New best length: 12781.1259 with params: {'alpha': 1.8824494663018765, 'beta': 2.960477753011112, 'rho': 0.2226151237152408, 'q': 4.7402508102586784}, avg=12927.7598 and median=12931.9240
New best length: 12721.6536 with params: {'alpha': 1.8824494663018765, 'beta': 2.960477753011112, 'rho': 0.2226151237152408, 'q': 15.405815133340706}, avg=12832.8179 and median=12828.6914
New best length: 12715.1307 with params: {'alpha': 1.8824494663018765, 'beta': 2.960477753011112, 'rho': 0.2226151237152408, 'q': 47.402508102586786}, avg=12910.9160 and median=12932.3476
New best length: 13057.6968 with params: {'alpha': 0.5, 'beta': 2.960477753011112, 'rho': 0.2226151237152408, 'q': 15.405815133340706}, avg=13198.5862 and median=13206.5294
New best length: 12802.8036 with params: {'alpha': 0.875, 'beta': 2.960477753011112, 'rho': 0.2226151237152408, 'q': 15.405815133340706}, avg=13007.0771 and median=12999.8498
New best length: 12727.6138 with params: {'alpha': 1.625, 'beta': 2.960477753011112, 'rho': 0.2226151237152408, 'q': 15.405815133340706}, avg=12893.4557 and median=12926.9888
New best length: 12847.7883 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.2226151237152408, 'q': 15.405815133340706}, avg=12945.4746 and median=12901.0827
New best length: 12827.5163 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.2226151237152408, 'q': 15.405815133340706}, avg=12953.6460 and median=12929.6913
New best length: 12763.6623 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2226151237152408, 'q': 15.405815133340706}, avg=12892.6872 and median=12902.8572
New best length: 12778.6161 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.2, 'q': 15.405815133340706}, avg=12972.3578 and median=12984.1201
Cycle 1: params={'alpha': 2.0, 'beta': 1.0, 'rho': 0.2, 'q': 15.405815133340706}, best_avg=12972.3578, best_median=12984.1201
New best length: 13056.7698 with params: {'alpha': 0.875, 'beta': 1.0, 'rho': 0.2, 'q': 15.405815133340706}, avg=13250.4261 and median=13265.2550
New best length: 12887.0018 with params: {'alpha': 1.25, 'beta': 1.0, 'rho': 0.2, 'q': 15.405815133340706}, avg=13069.2711 and median=13054.2602
New best length: 12843.2883 with params: {'alpha': 1.625, 'beta': 1.0, 'rho': 0.2, 'q': 15.405815133340706}, avg=13026.3009 and median=13028.3405
New best length: 12883.2997 with params: {'alpha': 1.625, 'beta': 1.0, 'rho': 0.2, 'q': 15.405815133340706}, avg=13024.1986 and median=13011.5892
New best length: 12872.5930 with params: {'alpha': 1.625, 'beta': 1.5, 'rho': 0.2, 'q': 15.405815133340706}, avg=13042.2736 and median=13034.6620
New best length: 12789.4917 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.2, 'q': 15.405815133340706}, avg=12883.6041 and median=12846.6284
New best length: 12759.7900 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.2, 'q': 15.405815133340706}, avg=12884.2582 and median=12869.6089
New best length: 12738.9775 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.2, 'q': 26.071379456422733}, avg=12935.3258 and median=12912.3354
New best length: 12673.0159 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.2, 'q': 15.405815133340706}, avg=12897.7850 and median=12892.0155
Cycle 2: params={'alpha': 1.625, 'beta': 3.0, 'rho': 0.275, 'q': 15.405815133340706}, best_avg=12877.6838, best_median=12839.3406
New best length: 12993.9756 with params: {'alpha': 0.5, 'beta': 3.0, 'rho': 0.275, 'q': 15.405815133340706}, avg=13136.0510 and median=13119.6458
New best length: 12795.7171 with params: {'alpha': 0.875, 'beta': 3.0, 'rho': 0.275, 'q': 15.405815133340706}, avg=12980.6094 and median=13018.1280
New best length: 12708.4139 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.275, 'q': 15.405815133340706}, avg=12890.8848 and median=12871.7617
New best length: 12735.4542 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.275, 'q': 26.071379456422733}, avg=12954.1673 and median=12939.4945
New best length: 12793.9289 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.2, 'q': 26.071379456422733}, avg=12913.5532 and median=12899.0919
New best length: 12783.2525 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.225, 'q': 26.071379456422733}, avg=12894.4150 and median=12908.6400
New best length: 12752.5947 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.25, 'q': 26.071379456422733}, avg=12877.0752 and median=12868.1421
New best length: 12692.4436 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.3, 'q': 26.071379456422733}, avg=12902.1316 and median=12916.5677
New best length: 12938.1978 with params: {'alpha': 1.625, 'beta': 1.0, 'rho': 0.25, 'q': 26.071379456422733}, avg=13088.7937 and median=13052.0042
New best length: 12936.5106 with params: {'alpha': 1.625, 'beta': 1.5, 'rho': 0.25, 'q': 26.071379456422733}, avg=13020.7009 and median=13018.2851
New best length: 12830.4842 with params: {'alpha': 1.625, 'beta': 2.5, 'rho': 0.25, 'q': 26.071379456422733}, avg=12961.6979 and median=12946.6674
New best length: 12776.3958 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.25, 'q': 26.071379456422733}, avg=12888.8329 and median=12864.3201
