New best length: 91825.3096 with params: {'alpha': 0.5, 'beta': 2.4602492205268476, 'rho': 0.25712808937861487, 'q': 218.05784902035415}, avg=92474.8896 and median=92468.2025
New best length: 90821.9055 with params: {'alpha': 0.875, 'beta': 2.4602492205268476, 'rho': 0.25712808937861487, 'q': 218.05784902035415}, avg=92088.8630 and median=92160.6438
New best length: 90701.4816 with params: {'alpha': 1.25, 'beta': 2.4602492205268476, 'rho': 0.25712808937861487, 'q': 218.05784902035415}, avg=91621.5424 and median=91876.3360
New best length: 90096.0565 with params: {'alpha': 1.625, 'beta': 2.4602492205268476, 'rho': 0.25712808937861487, 'q': 218.05784902035415}, avg=91212.6928 and median=91087.7546
New best length: 89965.2779 with params: {'alpha': 2.0, 'beta': 2.4602492205268476, 'rho': 0.25712808937861487, 'q': 218.05784902035415}, avg=90715.9440 and median=90724.8656
New best length: 90564.2139 with params: {'alpha': 2.0, 'beta': 2.4602492205268476, 'rho': 0.2, 'q': 218.05784902035415}, avg=91270.9733 and median=91086.1881
New best length: 89840.8073 with params: {'alpha': 2.0, 'beta': 2.4602492205268476, 'rho': 0.225, 'q': 218.05784902035415}, avg=90877.1459 and median=90702.5542
New best length: 89534.4329 with params: {'alpha': 2.0, 'beta': 2.4602492205268476, 'rho': 0.25, 'q': 218.05784902035415}, avg=90697.9283 and median=90662.3486
New best length: 89505.2650 with params: {'alpha': 2.0, 'beta': 2.4602492205268476, 'rho': 0.25, 'q': 25.532928295670146}, avg=90678.3477 and median=90745.3959
New best length: 89489.8836 with params: {'alpha': 2.0, 'beta': 2.4602492205268476, 'rho': 0.25, 'q': 140.4311056261858}, avg=90513.4724 and median=90316.8886
New best length: 91569.0105 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.25, 'q': 140.4311056261858}, avg=92609.5355 and median=92659.8692
New best length: 91036.6247 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.25, 'q': 140.4311056261858}, avg=92003.7248 and median=91753.5874
New best length: 90341.4749 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.25, 'q': 140.4311056261858}, avg=91279.8778 and median=91344.0873
New best length: 89229.6094 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.25, 'q': 140.4311056261858}, avg=90499.3613 and median=90506.3116
Cycle 1: params={'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 140.4311056261858}, best_avg=90390.1071, best_median=90438.1839
New best length: 89725.1140 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 25.532928295670146}, avg=90444.5030 and median=90248.2844
New best length: 89387.3082 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 140.4311056261858}, avg=90342.7229 and median=90348.9049
New best length: 89368.6751 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 197.88019429144367}, avg=90451.9715 and median=90633.1659
New best length: 91833.0794 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.25, 'q': 25.532928295670146}, avg=92370.8537 and median=92460.6138
New best length: 90450.7134 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.25, 'q': 25.532928295670146}, avg=91568.1835 and median=91697.8381
New best length: 90388.2034 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.25, 'q': 25.532928295670146}, avg=91475.3102 and median=91558.8288
New best length: 89586.0945 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.25, 'q': 25.532928295670146}, avg=90604.4067 and median=90720.3695
New best length: 88828.6010 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 25.532928295670146}, avg=90139.0369 and median=90121.0648
New best length: 91282.8489 with params: {'alpha': 0.5, 'beta': 3.0, 'rho': 0.25, 'q': 25.532928295670146}, avg=91782.5013 and median=91926.3520
New best length: 90262.6514 with params: {'alpha': 0.875, 'beta': 3.0, 'rho': 0.25, 'q': 25.532928295670146}, avg=91158.5647 and median=91190.4724
New best length: 89727.6080 with params: {'alpha': 1.25, 'beta': 3.0, 'rho': 0.25, 'q': 25.532928295670146}, avg=91072.2870 and median=91257.2026
New best length: 89435.2578 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 25.532928295670146}, avg=90638.9184 and median=90700.6252
New best length: 90191.8674 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.2, 'q': 25.532928295670146}, avg=90944.5935 and median=90946.7483
New best length: 89904.6878 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.225, 'q': 25.532928295670146}, avg=90999.8350 and median=90999.9228
New best length: 88634.7093 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.25, 'q': 25.532928295670146}, avg=90446.3036 and median=90587.2992
