New best length: 119520.5010 with params: {'alpha': 1.625, 'beta': 1.5, 'rho': 0.2, 'q': 272.38618498509874}, avg=120226.7936 and median=120332.6730
New best length: 119497.8270 with params: {'alpha': 1.625, 'beta': 2.5, 'rho': 0.2, 'q': 272.38618498509874}, avg=120492.1971 and median=120204.9498
New best length: 119785.6083 with params: {'alpha': 1.625, 'beta': 2.5, 'rho': 0.2, 'q': 272.38618498509874}, avg=120487.4511 and median=120660.8581
New best length: 119551.2404 with params: {'alpha': 1.625, 'beta': 2.5, 'rho': 0.225, 'q': 272.38618498509874}, avg=120524.2720 and median=120137.9545
New best length: 118855.1629 with params: {'alpha': 1.625, 'beta': 2.5, 'rho': 0.25, 'q': 272.38618498509874}, avg=119979.7894 and median=119958.7711
New best length: 119430.2414 with params: {'alpha': 1.625, 'beta': 2.5, 'rho': 0.3, 'q': 49.52476090638159}, avg=119830.4233 and median=119888.3916
New best length: 120106.3511 with params: {'alpha': 1.375, 'beta': 2.5, 'rho': 0.3, 'q': 49.52476090638159}, avg=121069.1571 and median=120659.1634
New best length: 119508.9330 with params: {'alpha': 1.53125, 'beta': 2.5, 'rho': 0.3, 'q': 49.52476090638159}, avg=120576.2746 and median=119852.6841
New best length: 119166.1663 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.3, 'q': 49.52476090638159}, avg=119878.5606 and median=120005.5609
New best length: 119578.4009 with params: {'alpha': 1.53125, 'beta': 2.5, 'rho': 0.25, 'q': 49.52476090638159}, avg=120774.6744 and median=120817.2662
New best length: 119187.2286 with params: {'alpha': 1.53125, 'beta': 2.5, 'rho': 0.275, 'q': 49.52476090638159}, avg=120015.9767 and median=120090.3655
New best length: 119610.0390 with params: {'alpha': 1.53125, 'beta': 2.5, 'rho': 0.275, 'q': 49.52476090638159}, avg=120277.6486 and median=120494.4899
New best length: 119413.5326 with params: {'alpha': 1.53125, 'beta': 2.5, 'rho': 0.275, 'q': 99.04952181276317}, avg=120276.5795 and median=119997.5921
New best length: 120106.2300 with params: {'alpha': 1.53125, 'beta': 2.0, 'rho': 0.275, 'q': 99.04952181276317}, avg=120445.2837 and median=120372.0741
New best length: 119703.3291 with params: {'alpha': 1.53125, 'beta': 2.25, 'rho': 0.275, 'q': 99.04952181276317}, avg=120382.4588 and median=120130.6240
New best length: 119433.3000 with params: {'alpha': 1.53125, 'beta': 2.5, 'rho': 0.275, 'q': 99.04952181276317}, avg=120143.0811 and median=120129.8148
New best length: 119244.8859 with params: {'alpha': 1.53125, 'beta': 2.75, 'rho': 0.275, 'q': 99.04952181276317}, avg=119991.0733 and median=119801.2362
Cycle 1: params={'alpha': 1.53125, 'beta': 2.75, 'rho': 0.275, 'q': 99.04952181276317}, best_avg=119991.0733, best_median=119801.2362
New best length: 119757.0570 with params: {'alpha': 1.53125, 'beta': 2.75, 'rho': 0.25, 'q': 99.04952181276317}, avg=120268.1048 and median=120342.6186
New best length: 119721.4699 with params: {'alpha': 1.53125, 'beta': 2.75, 'rho': 0.275, 'q': 99.04952181276317}, avg=120241.0224 and median=120053.7751
New best length: 119491.2760 with params: {'alpha': 1.53125, 'beta': 2.75, 'rho': 0.2875, 'q': 99.04952181276317}, avg=120405.1774 and median=120623.7236
New best length: 119061.4801 with params: {'alpha': 1.375, 'beta': 2.75, 'rho': 0.275, 'q': 99.04952181276317}, avg=120327.1519 and median=119905.1201
New best length: 119061.4081 with params: {'alpha': 1.84375, 'beta': 2.75, 'rho': 0.275, 'q': 99.04952181276317}, avg=120344.2470 and median=120039.6954
New best length: 119613.0626 with params: {'alpha': 1.375, 'beta': 2.75, 'rho': 0.275, 'q': 49.52476090638159}, avg=120697.3426 and median=120924.3537
New best length: 119603.3734 with params: {'alpha': 1.375, 'beta': 2.75, 'rho': 0.275, 'q': 198.09904362552635}, avg=120305.3904 and median=120460.1374
New best length: 119425.8167 with params: {'alpha': 1.375, 'beta': 2.75, 'rho': 0.275, 'q': 247.62380453190795}, avg=119978.3129 and median=119979.9622
New best length: 119532.3212 with params: {'alpha': 1.375, 'beta': 2.0, 'rho': 0.275, 'q': 247.62380453190795}, avg=120244.6566 and median=120140.1209
